iter	Passed	Remaining
0	2	265
1	4	241
2	7	231
3	9	220
4	11	219
5	13	213
6	15	210
7	18	209
8	20	206
9	22	205
10	25	205
11	27	202
12	29	200
13	32	199
14	35	198
15	37	196
16	39	195
17	42	193
18	44	190
19	47	188
20	49	186
21	51	183
22	54	181
23	56	178
24	58	176
25	60	173
26	63	171
27	65	168
28	67	165
29	70	163
30	72	161
31	74	158
32	76	156
33	79	153
34	81	151
35	83	149
36	86	146
37	88	144
38	91	142
39	93	139
40	95	137
41	96	133
42	98	130
43	100	128
44	102	125
45	105	123
46	107	121
47	110	119
48	112	117
49	114	114
50	117	112
51	119	110
52	121	108
53	124	105
54	126	103
55	128	100
56	130	98
57	133	96
58	135	94
59	137	91
60	140	89
61	142	87
62	145	85
63	147	83
64	150	80
65	152	78
66	155	76
67	157	74
68	160	71
69	162	69
70	164	67
71	166	64
72	169	62
73	171	60
74	174	58
75	176	55
76	179	53
77	181	51
78	183	48
79	185	46
80	188	44
81	190	41
82	193	39
83	195	37
84	198	34
85	200	32
86	202	30
87	204	27
88	207	25
89	209	23
90	211	20
91	214	18
92	216	16
93	219	13
94	221	11
95	223	9
96	226	7
97	229	4
98	231	2
99	233	0
