iter	Passed	Remaining
0	3	3325
1	5	2899
2	8	2702
3	11	2742
4	13	2648
5	15	2595
6	18	2591
7	20	2537
8	22	2506
9	25	2515
10	27	2500
11	29	2468
12	32	2476
13	34	2456
14	37	2441
15	39	2433
16	42	2437
17	44	2423
18	46	2420
19	49	2426
20	51	2417
21	54	2411
22	56	2419
23	59	2409
24	61	2400
25	64	2405
26	66	2398
27	68	2386
28	71	2390
29	73	2384
30	76	2384
31	80	2420
32	82	2411
33	84	2408
34	87	2420
35	90	2418
36	92	2411
37	95	2408
38	97	2397
39	99	2392
40	102	2399
41	104	2394
42	107	2389
43	110	2390
44	112	2381
45	115	2404
46	118	2394
47	120	2390
48	122	2386
49	125	2385
50	127	2379
51	130	2380
52	133	2381
53	135	2375
54	138	2372
55	140	2369
56	143	2368
57	145	2361
58	148	2360
59	150	2356
60	152	2351
61	155	2347
62	157	2344
63	159	2339
64	162	2339
65	165	2335
66	167	2330
67	169	2329
68	172	2324
69	174	2320
70	177	2320
71	179	2316
72	181	2311
73	184	2314
74	187	2310
75	189	2305
76	192	2302
77	194	2299
78	196	2293
79	199	2293
80	201	2288
81	203	2283
82	205	2267
83	207	2265
84	210	2262
85	212	2256
86	215	2257
87	217	2251
88	219	2246
89	222	2245
90	224	2241
91	226	2238
92	229	2235
93	231	2232
94	233	2226
95	236	2222
96	238	2220
97	240	2216
98	243	2212
99	245	2210
100	247	2206
101	250	2202
102	252	2203
103	255	2200
104	257	2197
105	260	2195
106	262	2191
107	264	2187
108	266	2182
109	269	2178
110	271	2175
111	274	2172
112	276	2170
113	278	2167
114	281	2163
115	283	2160
116	285	2155
117	287	2151
118	290	2148
119	292	2145
120	294	2142
121	296	2136
122	299	2135
123	301	2131
124	303	2127
125	306	2123
126	308	2118
127	310	2115
128	313	2114
129	315	2112
130	317	2109
131	320	2107
132	322	2104
133	325	2101
134	327	2098
135	330	2096
136	332	2093
137	334	2091
138	337	2090
139	339	2086
140	341	2083
141	343	2077
142	346	2074
143	348	2072
144	351	2070
145	353	2067
146	355	2064
147	358	2061
148	360	2059
149	362	2056
150	365	2052
151	367	2051
152	370	2048
153	372	2045
154	374	2042
155	376	2039
156	378	2034
157	381	2031
158	383	2027
159	385	2024
160	387	2017
161	389	2015
162	391	2011
163	393	2007
164	396	2004
165	398	2001
166	400	1997
167	402	1994
168	405	1992
169	407	1989
170	409	1985
171	411	1982
172	414	1979
173	416	1975
174	418	1972
175	420	1970
176	422	1966
177	425	1963
178	427	1961
179	429	1957
180	431	1954
181	434	1952
182	436	1949
183	438	1946
184	441	1943
185	443	1940
186	445	1937
187	447	1933
188	450	1932
189	452	1928
190	454	1924
191	457	1923
192	459	1920
193	461	1917
194	463	1915
195	466	1913
196	468	1909
197	470	1907
198	473	1904
199	475	1902
200	477	1899
201	480	1896
202	482	1894
203	484	1890
204	486	1887
205	488	1883
206	490	1879
207	492	1876
208	495	1874
209	497	1871
210	499	1868
211	501	1865
212	504	1863
213	506	1859
214	508	1856
215	510	1853
216	512	1850
217	514	1847
218	517	1844
219	519	1840
220	521	1837
221	523	1834
222	525	1831
223	527	1828
224	529	1825
225	532	1823
226	534	1819
227	536	1816
228	538	1814
229	541	1812
230	543	1810
231	545	1806
232	548	1804
233	550	1801
234	552	1797
235	554	1796
236	556	1793
237	559	1789
238	561	1786
239	563	1784
240	565	1782
241	568	1780
242	570	1778
243	573	1776
244	575	1772
245	577	1770
246	579	1767
247	581	1764
248	584	1762
249	586	1760
250	589	1758
251	591	1755
252	594	1754
253	596	1751
254	598	1747
255	600	1745
256	602	1742
257	604	1739
258	607	1736
259	609	1734
260	611	1732
261	613	1729
262	616	1727
263	618	1724
264	620	1721
265	622	1718
266	625	1716
267	627	1713
268	629	1710
269	631	1708
270	633	1705
271	635	1702
272	638	1700
273	640	1697
274	642	1694
275	644	1691
276	647	1689
277	649	1686
278	651	1683
279	653	1681
280	656	1679
281	658	1676
282	660	1674
283	662	1671
284	665	1668
285	667	1665
286	669	1663
287	671	1660
288	673	1657
289	676	1655
290	678	1653
291	680	1650
292	683	1648
293	685	1645
294	687	1642
295	689	1639
296	691	1637
297	693	1634
298	695	1631
299	698	1629
300	700	1627
301	702	1624
302	705	1622
303	707	1620
304	709	1617
305	712	1615
306	714	1612
307	716	1609
308	718	1607
309	720	1604
310	723	1601
311	725	1599
312	727	1596
313	729	1594
314	731	1591
315	734	1589
316	736	1587
317	738	1584
318	741	1582
319	743	1580
320	745	1577
321	747	1574
322	750	1572
323	752	1569
324	754	1566
325	756	1564
326	759	1562
327	761	1559
328	763	1556
329	765	1554
330	767	1551
331	769	1548
332	771	1546
333	774	1544
334	776	1541
335	778	1538
336	780	1535
337	782	1533
338	784	1530
339	787	1527
340	789	1525
341	791	1522
342	793	1519
343	795	1517
344	797	1514
345	800	1512
346	802	1509
347	804	1507
348	806	1504
349	808	1501
350	810	1499
351	812	1496
352	815	1493
353	817	1491
354	819	1488
355	821	1486
356	823	1483
357	826	1481
358	828	1479
359	830	1476
360	833	1475
361	835	1472
362	837	1470
363	840	1468
364	842	1466
365	844	1463
366	846	1460
367	849	1458
368	851	1456
369	853	1453
370	855	1451
371	858	1449
372	860	1446
373	862	1444
374	865	1442
375	867	1439
376	869	1436
377	871	1434
378	874	1432
379	876	1429
380	878	1427
381	880	1425
382	882	1422
383	884	1419
384	887	1417
385	889	1415
386	891	1412
387	894	1410
388	896	1407
389	898	1405
390	900	1402
391	902	1400
392	904	1397
393	906	1394
394	909	1392
395	911	1390
396	913	1387
397	915	1384
398	918	1383
399	920	1380
400	923	1379
401	925	1377
402	927	1374
403	929	1371
404	932	1369
405	934	1367
406	936	1364
407	938	1361
408	940	1359
409	943	1357
410	945	1354
411	947	1352
412	949	1350
413	951	1347
414	954	1344
415	956	1342
416	958	1339
417	960	1337
418	962	1334
419	964	1332
420	966	1329
421	968	1327
422	971	1324
423	973	1322
424	975	1319
425	977	1317
426	979	1314
427	981	1312
428	983	1309
429	986	1307
430	988	1304
431	990	1302
432	992	1300
433	995	1297
434	997	1295
435	999	1293
436	1001	1290
437	1003	1288
438	1006	1285
439	1008	1283
440	1010	1280
441	1012	1278
442	1015	1276
443	1017	1274
444	1019	1271
445	1022	1269
446	1024	1267
447	1026	1265
448	1028	1262
449	1031	1260
450	1033	1257
451	1035	1255
452	1037	1253
453	1040	1250
454	1042	1248
455	1045	1246
456	1047	1244
457	1049	1242
458	1051	1239
459	1054	1237
460	1056	1235
461	1058	1232
462	1061	1231
463	1063	1228
464	1066	1226
465	1068	1224
466	1070	1222
467	1072	1219
468	1075	1217
469	1077	1215
470	1079	1212
471	1082	1210
472	1084	1208
473	1087	1206
474	1089	1204
475	1092	1202
476	1094	1200
477	1096	1197
478	1099	1195
479	1101	1193
480	1103	1190
481	1106	1188
482	1108	1186
483	1111	1184
484	1113	1182
485	1115	1180
486	1117	1177
487	1120	1175
488	1122	1173
489	1124	1170
490	1126	1168
491	1129	1165
492	1131	1163
493	1133	1160
494	1135	1158
495	1138	1156
496	1140	1153
497	1142	1151
498	1144	1149
499	1146	1146
500	1148	1144
501	1151	1142
502	1153	1139
503	1155	1137
504	1157	1134
505	1159	1132
506	1161	1129
507	1163	1127
508	1166	1125
509	1168	1122
510	1170	1120
511	1172	1117
512	1175	1115
513	1177	1113
514	1179	1110
515	1181	1108
516	1183	1105
517	1185	1103
518	1188	1101
519	1190	1099
520	1192	1096
521	1195	1094
522	1197	1091
523	1199	1089
524	1201	1086
525	1203	1084
526	1205	1082
527	1207	1079
528	1210	1077
529	1212	1075
530	1214	1072
531	1216	1070
532	1220	1069
533	1222	1066
534	1224	1064
535	1226	1062
536	1229	1059
537	1231	1057
538	1233	1055
539	1235	1052
540	1237	1050
541	1239	1047
542	1242	1045
543	1244	1043
